"type","name","slug","region","placeholder_file","real_photo_file_page","real_photo_direct_url","license","attribution","shows","notes"
"Lake Town","Alexandria","alexandria","Alexandria Lakes","Placeholders/town-alexandria.svg","https://commons.wikimedia.org/wiki/File:Big_Ole_Statue_2.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/Big_Ole_Statue_2.jpg","Public Domain","Beachie2k, Public Domain, via Wikimedia Commons","Big Ole Viking statue, Alexandria",""
"Lake Town","Detroit Lakes","detroit-lakes","Lakes Country","Placeholders/town-detroit-lakes.svg","https://commons.wikimedia.org/wiki/File:Becker_county_Detroit_Lakes_MN_IMG_1268.JPG","https://upload.wikimedia.org/wikipedia/commons/3/3a/Becker_county_Detroit_Lakes_MN_IMG_1268.JPG","CC BY-SA 3.0","Bjoertvedt, CC BY-SA 3.0, via Wikimedia Commons","Detroit Lakes area lakeside view (Becker County)",""
"Lake Town","Bemidji","bemidji","Northern MN","Placeholders/town-bemidji.svg","https://commons.wikimedia.org/wiki/File:Bemidji,_Minnesota_aerial.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cd/Bemidji%2C_Minnesota_aerial.jpg","CC BY 2.0","Doc Searls, CC BY 2.0, via Wikimedia Commons","Aerial of Bemidji and Lake Bemidji",""
"Lake Town","Fergus Falls","fergus-falls","Lakes Country","Placeholders/town-fergus-falls.svg","https://commons.wikimedia.org/wiki/File:Fergus_Falls,_Minnesota_Montage.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d8/Fergus_Falls%2C_Minnesota_Montage.jpg","CC BY-SA 4.0","Farragutful, CC BY-SA 4.0, via Wikimedia Commons","Montage of Fergus Falls landmarks",""
"Lake Town","Grand Rapids","grand-rapids","Northern Lakes","Placeholders/town-grand-rapids.svg","https://commons.wikimedia.org/wiki/File:3rd_Street,_Grand_Rapids,_MN-02.jpg","https://upload.wikimedia.org/wikipedia/commons/5/52/3rd_Street%2C_Grand_Rapids%2C_MN-02.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown 3rd Street, Grand Rapids",""
"Lake Town","Willmar","willmar","West Central MN","Placeholders/town-willmar.svg","https://commons.wikimedia.org/wiki/File:Litchfield_Avenue,_Willmar,_MN.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9b/Litchfield_Avenue%2C_Willmar%2C_MN.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown Litchfield Avenue, Willmar",""
"Lake Town","Spicer","spicer","West Central MN","Placeholders/town-spicer.svg","https://commons.wikimedia.org/wiki/File:Green_Lake_-_Spicer,_Minnesota_(35386515466).jpg","https://upload.wikimedia.org/wikipedia/commons/b/b5/Green_Lake_-_Spicer%2C_Minnesota_%2835386515466%29.jpg","CC BY-SA 2.0","Tony Webster, CC BY-SA 2.0, via Wikimedia Commons","Green Lake from boat launch, Spicer",""
"Lake Town","New London","new-london","West Central MN","Placeholders/town-new-london.svg","https://commons.wikimedia.org/wiki/File:New_London_spillway_in_Minnesota_(6149421170).jpg","https://upload.wikimedia.org/wikipedia/commons/6/68/New_London_spillway_in_Minnesota_%286149421170%29.jpg","CC BY-SA 2.0","Dorian Wallender, CC BY-SA 2.0, via Wikimedia Commons","New London Mill Pond spillway",""
"Lake Town","Forest Lake","forest-lake","Twin Cities Metro","Placeholders/town-forest-lake.svg","https://commons.wikimedia.org/wiki/File:Downtown_Forest_Lake.jpg","https://upload.wikimedia.org/wikipedia/commons/6/69/Downtown_Forest_Lake.jpg","CC BY-SA 4.0","Lectrician2, CC BY-SA 4.0, via Wikimedia Commons","Downtown Forest Lake",""
"Lake Town","White Bear Lake","white-bear-lake","Twin Cities Metro","Placeholders/town-white-bear-lake.svg","https://commons.wikimedia.org/wiki/File:Business_district,_White_Bear_Lake,_Minnesota-01.jpg","https://upload.wikimedia.org/wikipedia/commons/7/75/Business_district%2C_White_Bear_Lake%2C_Minnesota-01.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown business district, White Bear Lake (city)","White Bear Lake exists as both a lake and a town - this is the TOWN."
"Lake Town","Prior Lake","prior-lake","Twin Cities Metro","Placeholders/town-prior-lake.svg","https://commons.wikimedia.org/wiki/File:Priorlakebridge.jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Priorlakebridge.jpg","CC BY-SA 4.0","Jeanqueq, CC BY-SA 4.0, via Wikimedia Commons","View from the bridge across Prior Lake",""
"Lake Town","Waconia","waconia","Twin Cities Metro","Placeholders/town-waconia.svg","https://commons.wikimedia.org/wiki/File:Coney_Island_of_the_West.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/Coney_Island_of_the_West.jpg","CC BY-SA 4.0","McGhiever, CC BY-SA 4.0, via Wikimedia Commons","Lake Waconia with Coney Island",""
"Lake Town","Fairmont","fairmont","Southern MN","Placeholders/town-fairmont.svg","https://commons.wikimedia.org/wiki/File:Downtown_Fairmont_-_panoramio.jpg","https://upload.wikimedia.org/wikipedia/commons/6/63/Downtown_Fairmont_-_panoramio.jpg","CC BY-SA 3.0","Jon Platek, CC BY-SA 3.0, via Wikimedia Commons","Downtown Fairmont",""
"Lake Town","Albert Lea","albert-lea","Southern MN","Placeholders/town-albert-lea.svg","https://commons.wikimedia.org/wiki/File:Albert_Lea,_Minnesota.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c2/Albert_Lea%2C_Minnesota.jpg","CC0","Wikideas1, CC0 / Public Domain, via Wikimedia Commons","Downtown Albert Lea",""
"Lake Town","Buffalo","buffalo","Twin Cities Metro","Placeholders/town-buffalo.svg","https://commons.wikimedia.org/wiki/File:Central_Ave_at_1st_Street_NE,_Buffalo,_MN-01.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Central_Ave_at_1st_Street_NE%2C_Buffalo%2C_MN-01.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown Buffalo, Central Ave at 1st St NE",""
"Lake Town","Chisago City","chisago-city","Twin Cities Metro","Placeholders/town-chisago-city.svg","https://commons.wikimedia.org/wiki/File:Chisago_City_1996.jpg","https://upload.wikimedia.org/wikipedia/commons/6/64/Chisago_City_1996.jpg","CC BY-SA 4.0","Hyby2015, CC BY-SA 4.0, via Wikimedia Commons","Chisago City, Lake Boulevard",""
"Lake Town","Lindstrom","lindstrom","Twin Cities Metro","Placeholders/town-lindstrom.svg","https://commons.wikimedia.org/wiki/File:V%C3%A4lkommen_till_Lindstr%C3%B6m_-_Swedish_Coffee_Pot_Water_Tower_(24721592494).jpg","https://upload.wikimedia.org/wikipedia/commons/e/ee/V%C3%A4lkommen_till_Lindstr%C3%B6m_-_Swedish_Coffee_Pot_Water_Tower_%2824721592494%29.jpg","CC BY-SA 2.0","Tony Webster, CC BY-SA 2.0, via Wikimedia Commons","Swedish Coffee Pot water tower, Lindstrom",""
"Lake Town","Lakeville","lakeville","Twin Cities Metro","Placeholders/town-lakeville.svg","https://commons.wikimedia.org/wiki/File:Lakevillestores.jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Lakevillestores.jpg","CC BY-SA 3.0","William Wesen (User:Appraiser), CC BY-SA 3.0, via Wikimedia Commons","Downtown storefronts, Lakeville",""
"Lake Town","Chanhassen","chanhassen","Twin Cities Metro","Placeholders/town-chanhassen.svg","https://commons.wikimedia.org/wiki/File:Paisley_Park-Pano.jpg","https://upload.wikimedia.org/wikipedia/commons/1/19/Paisley_Park-Pano.jpg","CC BY-SA 4.0","Chris.Schiemann, CC BY-SA 4.0, via Wikimedia Commons","Paisley Park panorama, Chanhassen",""
"Lake Town","Mound","mound","Twin Cities Metro","Placeholders/town-mound.svg","https://commons.wikimedia.org/wiki/File:Dakota_Rail_Regional_Trail_in_Mound.jpg","https://upload.wikimedia.org/wikipedia/commons/4/40/Dakota_Rail_Regional_Trail_in_Mound.jpg","CC BY-SA 4.0","TheRoadDudeMN, CC BY-SA 4.0, via Wikimedia Commons","Dakota Rail Regional Trail, Mound",""
"Lake Town","Lino Lakes","lino-lakes","Twin Cities Metro","Placeholders/town-lino-lakes.svg","https://commons.wikimedia.org/wiki/File:Centerville_Lake_Dock_Lino_Lakes_Minnesota_(28980931634).jpg","https://upload.wikimedia.org/wikipedia/commons/a/a7/Centerville_Lake_Dock_Lino_Lakes_Minnesota_%2828980931634%29.jpg","CC BY-SA 2.0","Tony Webster, CC BY-SA 2.0, via Wikimedia Commons","Centerville Lake dock, Lino Lakes",""
"Lake Town","Big Lake","big-lake","Central Lakes","Placeholders/town-big-lake.svg","https://commons.wikimedia.org/wiki/File:Lakeside_Park_2018.jpg","https://upload.wikimedia.org/wikipedia/commons/2/28/Lakeside_Park_2018.jpg","CC BY-SA 4.0","KAM32296, CC BY-SA 4.0, via Wikimedia Commons","Lakeside Park, Big Lake","Generic filename but verified to depict Big Lake, MN."
"Lake Town","Hutchinson","hutchinson","Central Lakes","Placeholders/town-hutchinson.svg","https://commons.wikimedia.org/wiki/File:Main_Street_businesses,_Hutchinson,_MN.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d5/Main_Street_businesses%2C_Hutchinson%2C_MN.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown Main Street, Hutchinson",""
"Lake Town","Faribault","faribault","Southern MN","Placeholders/town-faribault.svg","https://commons.wikimedia.org/wiki/File:Central_Avenue_N._and_Second_Street_NE.,_looking_south_west,_Faribault,_MN.jpg","https://upload.wikimedia.org/wikipedia/commons/4/42/Central_Avenue_N._and_Second_Street_NE.%2C_looking_south_west%2C_Faribault%2C_MN.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Historic downtown Central Avenue, Faribault",""
"Lake Town","Shoreview","shoreview","Twin Cities Metro","Placeholders/town-shoreview.svg","https://commons.wikimedia.org/wiki/File:Shoreview,_MN_-_panoramio.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1a/Shoreview%2C_MN_-_panoramio.jpg","CC BY 3.0","Gabriel Vanslette, CC BY 3.0, via Wikimedia Commons","Shoreview streetscape",""
"Lake Town","Monticello","monticello","Twin Cities Metro","Placeholders/town-monticello.svg","https://commons.wikimedia.org/wiki/File:Businesses_on_Broadway_Street,_Monticello,_Minnesota.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/Businesses_on_Broadway_Street%2C_Monticello%2C_Minnesota.jpg","CC BY 4.0","Myotus, CC BY 4.0, via Wikimedia Commons","Downtown Broadway Street, Monticello",""
"Lake Town","Worthington","worthington","Southwest MN","Placeholders/town-worthington.svg","https://commons.wikimedia.org/wiki/File:Worthington_Minnesota.jpg","https://upload.wikimedia.org/wikipedia/commons/8/88/Worthington_Minnesota.jpg","CC BY-SA 2.5","Tim Kiser (User:Malepheasant), CC BY-SA 2.5, via Wikimedia Commons","10th Street downtown, Worthington",""
